Round,Pick,Player,Position,Team,League Member,Pick,Round
1,1,Christian McCaffrey,RB,CAR,Zach,1,1
1,2,Saquon Barkley,RB,NYG,Joe,2,1
1,3,Ezekiel Elliott,RB,DAL,Scott,3,1
1,4,Michael Thomas,WR,NO,Elbe,4,1
1,5,Clyde Edwards-Helaire,RB,KC,Stefan,5,1
1,6,Devante Adams, WR, GB,Witte,6,1
1,7,Dalvin Cook, RB,MIN,Merts,7,1
1,8,Josh Jacobs, RB, LV,Josh,8,1
1,9,Miles Sanders, RB,PHI,Greg,9,1
1,10,Joe Mixon, RB,CIN,Colin,10,1
2,11,Julio Jones, WR,ATL,Colin,11,2
2,12,Travis Kelce,TE,KC,Greg,12,2
2,13,Kenyan Drake, RB,ARI,Josh,13,2
2,14,Odell Beckham Jr., WR,CLE,Merts,14,2
2,15,Chris Carson, RB,SEA,Witte,15,2
2,16,Tyreek Hill, WR, KC,Sefan,16,2
2,17,Mike Evans, WR, TB,Elbe,17,2
2,18,JuJu Smith-Schuster, WR,PIT,Scott,18,2
2,19,Kenny Golladay, WR,DET,Joe,19,2
2,20,Amari Cooper, WR,DAL,Zach,20,2
3,21,David Johnson, RB,HOU,Zach,21,3
3,22,Todd Gurley II, RB,ATL,Joe,22,3
3,23,D.J. Moore, WR,CAR,Scott,23,3
3,24,Mark Andrews, TE,BAL,Elbe,24,3
3,25,Robert Woods, WR,LAR,Stefan,25,3
3,26,Terry McLaurin, WR,WAS,Witte,26,3
3,27,Derrick Henry,RB,TEN,Merts,27,3
3,28,Tyler Lockett,WR,SEA,Josh,28,3
3,29,Allen Robinson,WR,CHI,Greg,29,3
3,30,Zach Ertz, TE,PHI,Colin,30,3
4,31,D.J. Chark, WR,JAX,Colin,31,4
4,32,Melvin Gordon, RB,DEN,Greg,32,4
4,33,Cam Akers, RB,LAR,Josh,33,4
4,34,Will Fuller V, WR,HOU,Merts,34,4
4,35,Jonathan Taylor, RB,IND,Witte,35,4
4,36,Marquise Brown, WR,BAL,Sefan,36,4
4,37,DeAndre Hopkins,WR,WR,Elbe,37,4
4,38,Le'Veon Bell, WR,NYJ,Scott,38,4
4,39,T.Y. Hilton, WR,IND,Joe,39,4
4,40,Stefon Diggs, WR,BUF,Zach,40,4
5,41,D'Andre Swift, RB,DET,Zach,41,5
5,42,Devin Singletary, RB,BUF,Joe,42,5
5,43,Mark Ingram II, RB,BAL,Scott,43,5
5,44,Keenan Allen, WR,LAC,Elbe,44,5
5,45,Courtland Sutton, WR,DEN,Stefan,45,5
5,46,Michael Gallop, WR,DAL,Witte,46,5
5,47,DeVante Parker, WR,MIA,Merts,47,5
5,48,Jarvis Landry, WR,CLE,Josh,48,5
5,49,Deshaun Watson, QB,HOU,Greg,49,5
5,50,Austin Ekeler,RB,RB,Colin,50,5
6,51,Adam Thielen,WR,WR,Colin,51,6
6,52,Tyler Boyd, WR,CIN,Greg,52,6
6,53,J.K. Dobbins, RB,BAL,Josh,53,6
6,54,David Montgomery,RB,CHI,Merts,54,6
6,55,Diontae Johnson, WR,PIT,Witte,55,6
6,56,Antonio Gibson, RB,WAS,Sefan,56,6
6,57,Leonard Fournette, RB, TB,Elbe,57,6
6,58,Julian Edelman, WR, NE,Scott,58,6
6,59,Marvin Jones Jr., WR,DET,Joe,59,6
6,60,Christian Kirk, WR,ARI,Zach,60,6
7,61,Zach Moss, RB,BUF,Zach,61,7
7,62,Matt Breida, RB,MIA,Joe,62,7
7,63,Kareem Hunt,RB, CLE,Scott,63,7
7,64,Russell Wilson,QB, SEA,Elbe,64,7
7,65,A.J. Green, WR,CIN,Stefan,65,7
7,66,Cooper Kupp,WR,LAR,Witte,66,7
7,67,Alvin Kamara,RB,NO,Merts,67,7
7,68,Tyler Higbee, TE,LAR,Josh,68,7
7,69,Deebo Samuel, WR,AR ,Greg,69,7
7,70,Josh Allen, QB,BUF,Colin,70,7
