Round,Pick,Player,Position,Team,League Member,Comments,,,,,,,,,,,,,,,
1,1,CeeDee Lamb,WR,DAL,Zach,[General surprise],,,,,,,,,,,,,,Zach,16
1,2,Christian McCaffrey,RB,SF,Josh,"""I'll take McCaffree"" Colin, right after Josh took jim",,,,,,,,,,,,,,Josh,16
1,3,Tyreek Hill,WR,MIA,Colin,,,,,,,,,,,,,,,Colin,16
1,4,Bijan RobiNson,RB,ATL,Kyle,,,,,,,,,,,,,,,Kyle,16
1,5,Breece Hall,RB,NYJ,Elbe,,,,,,,,,,,,,,,Elbe,16
1,6,AJ Brown,WR,PHI,Witte,"""I got Saquon"" Joe, during Witte's turn",,,,,,,,,,,,,,Witte,16
1,7,Saquon Barkley,RB,PHI,Joe,,,,,,,,,,,,,,,Joe,16
1,8,Jahmyr Gibbs,RB,DET,Scott,"""That's a good pick, Scott"" Colin",,,,,,,,,,,,,,Scott,16
1,9,Travis Etienne Jr.,RB,JAX,Greg,"""Another good one"" Colin; ""I don't feel good about this"" GG",,,,,,,,,,,,,,Greg,16
1,10,Chris Olave,WR,NO,Stefan,"[Joe goes to get beer] ""Oh yeah, you don't have a pick next round"" Elbe to Joe; Joe, ""Yeah, Zach fleeced me""",,,,,,,,,,,,,,Stefan,16
2,11,Marvin Harrison Jr.,WR,ARI,Stefan,"[Joe trips coming back with beer]; ""Those are reaches brotha"" Colin to Stefan; ""They aren't reaches because they won't be there when I pick next"" Stefan",,,,,,,,,,,,,,,
2,12,Derrick Henry,RB,BAL,Greg,"""Early"" Stefan ""One of the best available out there"" Kyle ""Whateva brotha"" Colin, again using ""brotha"" within 3 minutes",,,,,,,,,,,,,,,
2,13,Davante Adams,WR,LAV,Scott,"""AJ Brown, really?"" Stefan to Witte; [Witte tries to facetime in]",,,,,,,,,,,,,,,
2,14,Cooper Kupp,WR,LAR,Josh,"""That doesn't look like Canada it looks like Hawaii"" Elbe to Witte; ""Ask him about Katie F.'s head"" Kyle",,,,,,,,,,,,,,,
2,15,Amon-Ra St. Brown,WR,DET,Witte,"""Witte, nice keeper in the 2nd round"" Stefan; ""Are you keeping him next year?"" GG; ""Witte, are you shitting?"" collective",,,,,,,,,,,,,,,
2,16,DK Metcalf,WR,SEA,Elbe,"""In a keeper league, this is when the league is won"" Colin; [talk of soft tissue injuries]; ""My guy has a lot of children he has to feed, so he isn't getting hurt"" Colin; ""This is a tough one, boys"" Elbe; ""Where is Amari Rodgers playing?"" Colin to Joe",,,,,,,,,,,,,,,
2,17,Malik Nabers,WR,NYG,Kyle,"""Danny Dimes throwing over his head 10 yds every time"" Elbe ""I saw him throw over his head a lot"" Elbe under his breath; ""Scared money aint make no money"" Kyle",,,,,,,,,,,,,,,
2,18,Josh Jacobs,RB,GB,Colin,"""This is a tough spot for you"" Kyle to Colin; [Joe sings 'Will You Be My Hero Baby']; [Colin has angst over pick]; ""Ok change of scenary I'm going Josh Jacobs"" ""That's high up there. Second Round?"" Stefan to Colin",,,,,,,,,,,,,,,
2,19,Brandon Aiyuk,WR,SF,Zach,,,,,,,,,,,,,,,,
2,20,Lamar Jackson,QB,BAL,Zach,"[WHOA - collective] ""He could have got him on the way back"" Kyle ""This has to be a tight end"" Kyle",,,,,,,,,,,,,,,
3,21,Rashee Rice,WR,KC,Zach,"""That's a really good pick"" kyle ""That's a reach!"" Colin ""When you have that many picks in a row you can reach"" Stefan ""His receviers look pretty good"" Elbe …. ""He don't have any other running backs"" Elbe in discussion re: Dolphins rbs",,,,,,,,,,,,,,,
3,22,Ja'Marr Chase,WR,CIN,Josh,,,,,,,,,,,,,,,,
3,23,Rachaad White,RB,TB,Colin,"""I'm taking…hmmmm…"" [trails off] Colin; ""Have fun with that. The most inefficient RB last year."" Stefan",,,,,,,,,,,,,,,
3,24,DeEbo Samuel Sr.,WR,SF,Kyle,"""How's his vagina doing? That boy always pulling his vagina"" Joe",,,,,,,,,,,,,,,
3,25,Jalen Hurts,QB,PHi,Elbe,"""Alright, give him to me, Jalen Hurts"" Elbe; ""Get off the shitter, Witte"" Elbe",,,,,,,,,,,,,,,
3,26,Stefon Diggs,WR,BUF,Witte,"""They're all dog shit. I need a RB."" Colin; ""You don’t need to, it’s a PPR league."" Stefan",,,,,,,,,,,,,,,
3,27,Travis Kelce,TE,KC,Joe,"""Hey elbe, good pick."" Stefan ""He's especially good in PPR leagues"" Stefan to Elbe; ""Come on guys that was a couple years ago, now"" Elbe; ""I double TE'ed it"" Joe; ""That might be the worst pick of the draft"" Stefan ""Kincaid is an 11th round keeper, yall can suck my nuts"" Joe; [discussion of Joe's nuts ensue]",,,,,,,,,,,,,,,
3,28,Alvin Kamara,RB,NO,Scott,,,,,,,,,,,,,,,,
3,29,Jaylen Waddle,WR,MIA,Greg,,,,,,,,,,,,,,,,
3,30,Mark Andrews,TE,BAL,Stefan,"""Make sure you go get Joe Mixon you were just shitting on"" Colin; ""I don’t want him"" Stefan ""He won you a title last year, show some respect"" Kyle to Stefan",,,,,,,,,,,,,,,
4,31,Kenneth Walker III,RB,SEA,Stefan,,,,,,,,,,,,,,,,
4,32,Jonathan Taylor,RB,IND,Greg,,,,,,,,,,,,,,,,
