Round,Pick,Player,Position,Team,League Member,,Total,,,,,,,,,,,,
1,1,CeeDee Lamb,WR,DAL,Colin,,1,,,,,,,,,,,Zach,16
1,2,Jahmyr Gibbs,RB,DET,Stefan,,2,,,,,,,,,,,Josh,16
1,3,Bijan Robinson,RB,ATL,Witte,,3,,,,,,,,,,,Colin,16
1,4,Saquon Barkley,RB,PHI,Joe,,4,,,,,,,,,,,Kyle,16
1,5,Christian McCaffrey,RB,SF,Elbe,,5,,,,,,,,,,,Elbe,16
1,6,Ashton Jeanty,RB,LAV,Kyle,,6,,,,,,,,,,,Witte,16
1,7,Amon-Ra St. Brown,WR,DET,Josh,,7,,,,,,,,,,,Joe,16
1,8,Derrick Henry,RB,BAL,Scott,,8,,,,,,,,,,,Scott,16
1,9,Malik Nabers,WR,NYG,Greg,,9,,,,,,,,,,,Greg,16
1,10,Jonathan Taylor,RB,IND,Greg,,10,,,,,,,,,,,Stefan,16
2,11,AJ Brown,WR,PHI,Zach,,11,,,,,,,,,,,,
2,12,Lamar Jackson,QB,BAL,Greg,,12,,,,,,,,,,,,
2,13,Tyreek Hill,WR,MIA,Joe,,13,,,,,,,,,,,,
2,14,Ja'Marr Chase,WR,CIN,Josh,,14,,,,,,,,,,,,
2,15,Josh Jacobs,RB,GB,Witte,,15,,,,,,,,,,,,
2,16,Tee Higgins,WR,CIN,Elbe,,16,,,,,,,,,,,,
2,17,James Cook,RB,BUF,Joe,,17,,,,,,,,,,,,
2,18,Omarion Hampton,RB,LAC,Witte,,18,,,,,,,,,,,,
2,19,Josh Allen,QB,BUF,Stefan,,19,,,,,,,,,,,,
2,20,Davante Adams,WR,LAR,Colin,,20,,,,,,,,,,,,
3,21,Alvin Kamara,RB,NO,Colin,,21,,,,,,,,,,,,
3,22,Mike Evans,WR,TB,Stefan,,22,,,,,,,,,,,,
3,23,TreVeyon Henderson,RB,NE,Witte,,23,,,,,,,,,,,,
3,24,Marvin Harrison JR,WR,ARI,Joe,,24,,,,,,,,,,,,
3,25,Courtland Sutton,WR,DEN,Stefan,,25,,,,,,,,,,,,
3,26,Drake London,WR,ATL,Joe,,26,,,,,,,,,,,,
3,27,Kenneth Walker,RB,SEA,Josh,,27,,,,,,,,,,,,
3,28,Terry Mclaurin,WR,WAS,Scott,,28,,,,,,,,,,,,
3,29,Jalen Hurts,QB,PHI,Zach,,29,,,,,,,,,,,,
3,30,James Conner,RB,ARI,Zach,,30,,,,,,,,,,,,
4,31,Calvin Ridley,WR,TEN,Zach,,31,,,,,,,,,,,,
4,32,Xavier Worthy,WR,KC,Witte,,32,,,,,,,,,,,,
4,33,Tetairoa McMillan,WR,CAR,Scott,,33,,,,,,,,,,,,
4,34,DJ Moore,WR,CHI,Josh,,34,,,,,,,,,,,,
4,35,George Pickens,WR,DAL,Kyle,,35,,,,,,,,,,,,
4,36,Breece Hall,RB,NYJ,Elbe,,36,,,,,,,,,,,,
4,37,D'Andre Swift,RB,CHI,Joe,,37,,,,,,,,,,,,
4,38,RJ Harvey,RB,DEN,Kyle,,38,,,,,,,,,,,,
4,39,DK Metcalf,WR,PIT,Colin,,39,,,,,,,,,,,,
4,40,Joe Burrow,QB,CIN,Josh,,40,,,,,,,,,,,,
5,41,Tony Pollard,RB,TEN,Colin,,41,,,,,,,,,,,,
5,42,Rashee Rice,WR,KC,Stefan,,42,,,,,,,,,,,,
5,43,Isiah Pacheco,RB,KC,Zach,,43,,,,,,,,,,,,
5,44,DeVonta Smith,WR,PHI,Josh,,44,,,,,,,,,,,,
5,45,Zay Flowers,WR,BAL,Elbe,,45,,,,,,,,,,,,
5,46,Emeka Egbuka,WR,TB,Kyle,,46,,,,,,,,,,,,
5,47,Aaron Jones,RB,MIN,Josh,,47,,,,,,,,,,,,
5,48,Jaxon Smith-Njigba,WR,SEA,Kyle,,48,,,,,,,,,,,,
5,49,Garrett Wilson,WR,NYJ,Greg,,49,,,,,,,,,,,,
5,50,Jaylen Waddle,WR,MIA,Greg,,50,,,,,,,,,,,,
6,51,Tyrone Tracy Jr,RB,NYG,Colin,,51,,,,,,,,,,,,
6,52,George Kittle,TE,SF,Greg,,52,,,,,,,,,,,,
6,53,TJ Hockenson,TE,MIN,Scott,,53,,,,,,,,,,,,
6,54,Ricky Pearsall,WR,SF,Zach,,54,,,,,,,,,,,,
6,55,Jakobi Meyers,WR,LV,Joe,,55,,,,,,,,,,,,
6,56,Travis Hunter,WR,JAX,Stefan,,56,,,,,,,,,,,,
6,57,Khalil Shakir,WR,BUF,Scott,,57,,,,,,,,,,,,
6,58,Jordan Addison,WR,MIN,Witte,,58,,,,,,,,,,,,
6,59,Matthew Golden,WR,GB,Stefan,,59,,,,,,,,,,,,
6,60,Baker Mayfield,QB,TB,Colin,,60,,,,,,,,,,,,
7,61,Chris Olave,WR,NO,Colin,,61,,,,,,,,,,,,
7,62,David Montgomery,RB,DET,Colin,,62,,,,,,,,,,,,
7,63,Jaylen Warren,RB,PIT,Josh,,63,,,,,,,,,,,,
7,64,Travis Kelce,TE,KC,Joe,,64,,,,,,,,,,,,
7,65,Jayden Higgins,WR,HOU,Elbe,,65,,,,,,,,,,,,
7,66,Chase Brown,RB,CIN,Kyle,,66,,,,,,,,,,,,
7,67,Brock Bowers,TE,LV,Josh,,67,,,,,,,,,,,,
7,68,Jerry Jeudy,WR,CLE,Scott,,68,,,,,,,,,,,,
7,69,Rome Odunze,WR,CHI,Greg,,69,,,,,,,,,,,,
7,70,Ladd McConkey,WR,LAC,Witte,,70,,,,,,,,,,,,
8,71,Justin Jefferson,WR,MIN,Zach,,71,,,,,,,,,,,,
8,72,Tyler Warren,TE,IND,Zach,,72,,,,,,,,,,,,
8,73,Travis Etienne Jr,RB,JAX,Scott,,73,,,,,,,,,,,,
8,74,Deebo Samuel,WR,WAS,Josh,,74,,,,,,,,,,,,
8,75,Stefon Diggs,WR,NE,Kyle,,75,,,,,,,,,,,,
8,76,Javonte Williams,RB,DAL,Elbe,,76,,,,,,,,,,,,
8,77,Kyren Williams,RB,LAR,Scott,,77,,,,,,,,,,,,
8,78,Brian Thomas Jr.,WR,JAX,Witte,,78,,,,,,,,,,,,
8,79,Zach Charbonnet,RB,SEA,Stefan,,79,,,,,,,,,,,,
8,80,Luther Burden,WR,CHI,Zach,,80,,,,,,,,,,,,
9,81,Trey McBride,TE,ARI,Colin,,81,,,,,,,,,,,,
9,82,Jameson Williams,WR,DET,Stefan,,82,,,,,,,,,,,,
9,83,Mark Andrews,TE,BAL,Witte,,83,,,,,,,,,,,,
9,84,Jacory Croskey-Merritt,RB,WAS,Joe,,84,,,,,,,,,,,,
9,85,Sam LaPorta,TE,DET,Elbe,,85,,,,,,,,,,,,
9,86,Kaleb Johnson,RB,PIT,Kyle,,86,,,,,,,,,,,,
9,87,Keon Coleman,WR,BUF,Josh,,87,,,,,,,,,,,,
9,88,Marvin Mims Jr,WR,DEN,Scott,,88,,,,,,,,,,,,
9,89,JK Dobbins,RB,DEN,Greg,,89,,,,,,,,,,,,
9,90,De'Von Achane,RB,MIA,Zach,,90,,,,,,,,,,,,
10,91,Darnell Mooney,WR,ATL,Zach,,91,,,,,,,,,,,,
10,92,Jauan Jennings,WR,SF,Colin,,92,,,,,,,,,,,,
10,93,Jayden Reed,WR,GB,Scott,,93,,,,,,,,,,,,
10,94,DENVER BRONCOS,DEF,DEN,Josh,,94,,,,,,,,,,,,
10,95,Cam Skattebo,RB,NYG,Kyle,,95,,,,,,,,,,,,
10,96,Jordan Mason,RB,MIN,Elbe,,96,,,,,,,,,,,,
10,97,Jayden Daniels,QB,WAS,Joe,,97,,,,,,,,,,,,
10,98,Austin Ekeler,RB,WAS,Witte,,98,,,,,,,,,,,,
10,99,Nico Collins,WR,HOU,Stefan,,99,,,,,,,,,,,,
10,100,Tank Bigsby,RB,JAX,Colin,,100,,,,,,,,,,,,
11,101,Bucky Irving,RB,TB,Colin,,101,,,,,,,,,,,,
11,102,Jaydon Blue,RB,DAL,Stefan,,102,,,,,,,,,,,,
11,103,Cooper Kupp,WR,SEA,Witte,,103,,,,,,,,,,,,
11,104,Josh Downs,WR,IND,Joe,,104,,,,,,,,,,,,
11,105,Michael Pittman Jr,WR,IND,Elbe,,105,,,,,,,,,,,,
11,106,Colston Loveland,TE,CHI,Kyle,,106,,,,,,,,,,,,
11,107,Tyjae Spears,RB,TEN,Josh,,107,,,,,,,,,,,,
11,108,Patrick Mahomes II,QB,KC,Scott,,108,,,,,,,,,,,,
11,109,Christian Kirk,WR,HOU,Witte,,109,,,,,,,,,,,,
11,110,Quinshon Judkins,RB,CLE,Colin,,110,,,,,,,,,,,,
12,111,Tucker Kraft,TE,GB,Witte,,111,,,,,,,,,,,,
12,112,Joe Mixon,RB,HOU,Greg,,112,,,,,,,,,,,,
12,113,Puka Nacua,WR,LAR,Scott,,113,,,,,,,,,,,,
12,114,Evan Engram,TE,DEN,Josh,,114,,,,,,,,,,,,
12,115,Kyle Williams,WR,NE,Kyle,,115,,,,,,,,,,,,
12,116,Chuba Hubbard,RB,CAR,Elbe,,116,,,,,,,,,,,,
12,117,Bhayshul Tuten,RB,JAX,Kyle,,117,,,,,,,,,,,,
12,118,Justin Fields,QB,NYJ,Witte,,118,,,,,,,,,,,,
12,119,Dak Prescott,QB,DAL,Stefan,,119,,,,,,,,,,,,
12,120,Trey Benson,,,Zach,,120,,,,,,,,,,,,
13,121,Kyler Murray,QB,ARI,Colin,,121,,,,,,,,,,,,
13,122,Woody Marks,RB,HOU,Stefan,,122,,,,,,,,,,,,
13,123,Chris Godwin,WR,TB,Witte,,123,,,,,,,,,,,,
13,124,David Njoku,TE,CLE,Joe,,124,,,,,,,,,,,,
13,125,Bo Nix,QB,DEN,Elbe,,125,,,,,,,,,,,,
13,126,Drake Maye,QB,NE,Kyle,,126,,,,,,,,,,,,
13,127,Brian Robinson Jr,RB,SF,Josh,,127,,,,,,,,,,,,
13,128,Braelon Allen,RB,NYJ,Scott,,128,,,,,,,,,,,,
13,129,Jerome Ford,RB,CLE,Greg,,129,,,,,,,,,,,,
13,130,PIT STEELERS,DEF,PIT,Zach,,130,,,,,,,,,,,,
14,131,Ollie Gordon,RB,MIA,Zach,,131,,,,,,,,,,,,
14,132,Tyler Allgeier,RB,,Greg,,132,,,,,,,,,,,,
14,133,Tre' Harris,WR,LAC,Scott,,133,,,,,,,,,,,,
14,134,Pat Bryant,WR,DEN,Josh,,134,,,,,,,,,,,,
14,135,JJ McCarthy,QB,MIN,Kyle,,135,,,,,,,,,,,,
14,136,Kyle Pitts,TE,,Stefan,,136,,,,,,,,,,,,
14,137,BALTIMORE RAVENS,DEF,BAL,Joe,,137,,,,,,,,,,,,
14,138,Rashid Shaheed,WR,NO,Greg,,138,,,,,,,,,,,,
14,139,Jack Bech,WR,LV,Elbe,,139,,,,,,,,,,,,
14,140,Will Shipley,RB,PHI,Greg,,140,,,,,,,,,,,,
15,141,Keenan Allen,WR,LAC,Stefan,,141,,,,,,,,,,,,
15,142,Nick Chubb,RB,HOU,Elbe,,142,,,,,,,,,,,,
15,143,BUFFALO BILLS,DEF,BUF,Witte,,143,,,,,,,,,,,,
15,144,Rhamondre Stevenson,RB,NE,Joe,,144,,,,,,,,,,,,
15,145,CJ Stroud,QB,HOU,Elbe,,145,,,,,,,,,,,,
15,146,Houston Texans,DEF,HOU,Kyle,,146,,,,,,,,,,,,
15,147,Rachaad White,RB,TB,Colin,,147,,,,,,,,,,,,
15,148,Tory Horton,WR,SEA,Scott,,148,,,,,,,,,,,,
15,149,Brandon Aiyuk,WR,SF,Greg,,149,,,,,,,,,,,,
15,150,Trevor Lawrence,QB,JAX,Zach,,150,,,,,,,,,,,,
16,151,Dameon Pierce,RB,HOU,Zach,,151,,,,,,,,,,,,
16,152,Ray Davis,RB,BUF,Greg,,152,,,,,,,,,,,,
16,153,PHI EAGLES,DEF,PHi,Scott,,153,,,,,,,,,,,,
16,154,Michael Penix Jr,QB,ATL,Joe,,154,,,,,,,,,,,,
16,155,Roschon Johnson,RB,CHI,Kyle,,155,,,,,,,,,,,,
16,156,Minnesota Vikings,DEF,MIN,Elbe,,156,,,,,,,,,,,,
16,157,Joshua Palmer,WR,BUF,Joe,,157,,,,,,,,,,,,
16,158,Tahj Brooks,RB,CIN,Greg,,158,,,,,,,,,,,,
16,159,Cedric Tillman,WR,CLE,Elbe,,159,,,,,,,,,,,,
16,160,Arizona Cardinals,DEF,ARI,Stefan,,160,,,,,,,,,,,,
