SUMMARY,,,,,,,TERM,,,,DRAFT ROUND FOR KEEPER,,,
Pick,Round,Player,Position,Team,League Member,,2018 Status,2019 Status,2020 Status,,2017,2018,2019,2020
124,13,Kirk Cousins,QB,MIN,Colin Tracy,,2 of 3,3 of 3,N/A,,14,13,12,N/A
24,3,LeSean McCoy,RB,BUF,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,3,2,1
117,12,James White,RB,NE,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,12,11,10
77,8,Adam Thielen,WR,MIN,Colin Tracy,,2 of 3,3 of 3,N/A,,9,8,7,N/A
97,10,Robert Woods,WR,LAR,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,10,9,8
,,Eric Ebron,TE,IND,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
4,1,Odell Beckham Jr.,WR,CLE,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,1,N/A,N/A
,,Dante Pettis,WR,SF,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,LA Rams,D/ST,LAR,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
44,5,Tom Brady,QB,NE,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,5,4,3
57,6,Jimmy Graham,TE,GB,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,6,5,4
118,12,Theo Riddick,RB,DET,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,12,11,10
,,Taylor Gabriel,WR,CHI,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Houston Texans,D/ST,HOU,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Gus Edwards,RB,BAL,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Bruce Ellington,WR,NE,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
17,2,Devonta Freeman,RB,ATL,Colin Tracy,,1 of 3,2 of 3,3 of 3,,N/A,2,1,N/A
,,,,,,,,,,,,,,
53,6,Russell Wilson,QB,SEA,Joe Murray,,2 of 3,3 of 3,N/A,,6,5,4,N/A
8,1,Ezekiel Elliott,RB,DAL,Joe Murray,,2 of 3,N/A,N/A,,2,1,N/A,N/A
48,5,Tevin Coleman,RB,SF,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,5,4,3
18,2,Stefon Diggs,WR,MIN,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,2,1,0
,,Tyrell Williams,WR,OAK,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
N/A,N/A,Trey Burton,TE,CHI,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
,,Jalen Richard,RB,OAK,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
123,13,Calvin Ridley,WR,ATL,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,13,12,11
,,Pittsburgh Steelers,D/ST,PIT,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
28,3,Demaryius Thomas,WR,NE,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,3,2,1
73,8,Isaiah Crowell,RB,OAK,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,8,7,6
,,DeSean Jackson,WR,PHI,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Willie Snead,WR,BAL,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Austin Ekeler,RB,LAC,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Mitchell Trubisky,QB,CHI,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
,,Mohamed Sanu,WR,ATL,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
33,4,Greg Olsen,TE,CAR,Joe Murray,,1 of 3,2 of 3,3 of 3,,N/A,4,3,2
,,,,,,,,,,,,,,
,,Jared Goff,QB,LAR,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
9,1,Leonard Fournette,RB,JAX,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,1,N/A,N/A
92,10,Kenyan Drake,RB,MIA,Scott Johnston,,2 of 3,3 of 3,N/A,,FA,9,8,N/A
29,3,Golden Tate,WR,NYG,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,3,2,1
32,4,Allen Robinson,WR,CHI,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,4,3,2
149,15,George Kittle,TE,SF,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,15,14,13
69,7,Sterling Shepard,WR,NYG,Scott Johnston,,1 of 3,2 of 3,3 of 3,,FA,7,6,5
72,8,Sony Michel,RB,NE,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,8,7,6
,,Washington Redskins,D/ST,WASH,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,N/A,9,8
49,5,Michael Crabtree,WR,BAL,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,5,4,3
112,12,Carson Wentz,QB,PHI,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,12,11,10
153,16,Tre'Quan Smith,WR,NO,Scott Johnston,,1 of 3,2 of 3,3 of 3,,FA,16,15,14
N/A,N/A,Anthony Miller,WR,CHI,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
62,7,Kerryon Johnson,RB,DET,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,7,6,5
N/A,N/A,Kyle Rudolph,TE,MIN,Scott Johnston,,1 of 3,2 of 3,3 of 3,,N/A,FA,9,8
