Round,Pick,Original Pick,Trade,New Pick,Trade,New Pick,,,,,,,
1,1,Colin,,,,Colin,,,Colin,16,,Colin,16
1,2,Stefan,x,Witte,X,Zach,,,Stefan,16,,Stefan,16
1,3,Witte,,,,Witte,,,Witte,16,,Witte,16
1,4,Joe,,,,Joe,,,Joe,16,,Joe,16
1,5,Elbe,,,,Elbe,,,Elbe,16,,Elbe,16
1,6,Kyle,,,,Kyle,,,Kyle,16,,Kyle,16
1,7,Josh,,,,Josh,,,Josh,16,,Josh,16
1,8,Scott,,,,Scott,,,Scott,16,,Scott,16
1,9,Greg,X,Scott,,Scott,,,Greg,16,,Greg,16
1,10,Zach,,,,Zach,,,Zach,16,,Zach,16
2,11,Colin,,,,Colin,,,,,,,
2,12,Stefan,,,,Stefan,,,,,,,
2,13,Witte,,,,Witte,,,,,,,
2,14,Joe,,,,Joe,,,,,,,
2,15,Elbe,,,,Elbe,,,,,,,
2,16,Kyle,X,Witte,,Witte,,,,,,,
2,17,Josh,,,,Josh,,,,,,,
2,18,Scott,,,,Scott,,,,,,,
2,19,Greg,,,,Greg,,,,,,,
2,20,Zach,,,,Zach,,,,,,,
3,21,Colin,,,,Colin,,,,,,,
3,22,Stefan,,,,Stefan,,,,,,,
3,23,Witte,,,,Witte,,,,,,,
3,24,Joe,,,,Joe,,,,,,,
3,25,Elbe,,,,Elbe,,,,,,,
3,26,Kyle,,,,Kyle,,,,,,,
3,27,Josh,,,,Josh,,,,,,,
3,28,Scott,,,,Scott,,,,,,,
3,29,Greg,X,Scott,,Scott,,,,,,,
3,30,Zach,,,,Zach,,,,,,,
4,31,Colin,X,Witte,X,Zach,,,,,,,
4,32,Stefan,,,,Stefan,,,,,,,
4,33,Witte,,,,Witte,,,,,,,
4,34,Joe,X,Witte,,Witte,,,,,,,
4,35,Elbe,X,Kyle,,Kyle,,,,,,,
4,36,Kyle,X,Zach,,Zach,,,,,,,
4,37,Josh,X,Scott,,Scott,,,,,,,
4,38,Scott,,,,Scott,,,,,,,
4,39,Greg,,,,Greg,,,,,,,
4,40,Zach,,,,Zach,,,,,,,
5,41,Colin,,,,Colin,,,,,,,
5,42,Stefan,,,,Stefan,,,,,,,
5,43,Witte,X,Stefan,,Stefan,,,,,,,
5,44,Joe,,,,Joe,,,,,,,
5,45,Elbe,,,,Elbe,,,,,,,
5,46,Kyle,,,,Kyle,,,,,,,
5,47,Josh,,,,Josh,,,,,,,
5,48,Scott,,,,Scott,,,,,,,
5,49,Greg,,,,Greg,,,,,,,
5,50,Zach,X,Kyle,,Kyle,,,,,,,
6,51,Colin,X,Witte,X,Joe,,,,,,,
6,52,Stefan,,,,Stefan,,,,,,,
6,53,Witte,X,Kyle,,Kyle,,,,,,,
6,54,Joe,,,,Joe,,,,,,,
6,55,Elbe,X,Scott,,Scott,,,,,,,
6,56,Kyle,X,Zach,,Zach,,,,,,,
6,57,Josh,,,,Josh,,,,,,,
6,58,Scott,,,,Scott,,,,,,,
6,59,Greg,,,,Greg,,,,,,,
6,60,Zach,X,Witte,,Witte,,,,,,,
7,61,Colin,,,,Colin,,,,,,,
7,62,Stefan,,,,Stefan,,,,,,,
7,63,Witte,X,Stefan,,Stefan,,,,,,,
7,64,Joe,,,,Joe,,,,,,,
7,65,Elbe,,,,Elbe,,,,,,,
7,66,Kyle,,,,Kyle,,,,,,,
7,67,Josh,,,,Josh,,,,,,,
7,68,Scott,,,,Scott,,,,,,,
7,69,Greg,,,,Greg,,,,,,,
7,70,Zach,,,,Zach,,,,,,,
8,71,Colin,,,,Colin,,,,,,,
8,72,Stefan,X,Witte,,Witte,,,,,,,
8,73,Witte,,,,Witte,,,,,,,
8,74,Joe,,,,Joe,,,,,,,
8,75,Elbe,,,,Elbe,,,,,,,
8,76,Kyle,X,Elbe,,Elbe,,,,,,,
8,77,Josh,,,,Josh,,,,,,,
8,78,Scott,,,,Scott,,,,,,,
8,79,Greg,,,,Greg,,,,,,,
8,80,Zach,X,Witte,,Witte,,,,,,,
9,81,Colin,,,,Colin,,,,,,,
9,82,Stefan,,,,Stefan,,,,,,,
9,83,Witte,X,Colin,,Colin,,,,,,,
9,84,Joe,,,,Joe,,,,,,,
9,85,Elbe,,,,Elbe,,,,,,,
9,86,Kyle,,,,Kyle,,,,,,,
9,87,Josh,,,,Josh,,,,,,,
9,88,Scott,,,,Scott,,,,,,,
9,89,Greg,,,,Greg,,,,,,,
9,90,Zach,X,Kyle,,Kyle,,,,,,,
10,91,Colin,,,,Colin,,,,,,,
10,92,Stefan,,,,Stefan,,,,,,,
10,93,Witte,X,Colin,,Colin,,,,,,,
10,94,Joe,,,,Joe,,,,,,,
10,95,Elbe,,,,Elbe,,,,,,,
